id,title,city,property,area(m²),rooms,price(TND),longitude,latitude,link
2624,A vendre un s3 jamais habité à sousse,Sousse Ville à       Sousse Ville      ,Appartement,158,3,410 000,10.5945561,35.8318766,https://www.mubawab.tn/fr/a/7769590/a-vendre-un-s3-jamais-habit%C3%A9-%C3%A0-sousse
2625,A vendre s1 maison de jardin à kantaoui,El Kantaoui à       Hammam Sousse      ,Appartement,60,2,250 000,10.58025,35.898175,https://www.mubawab.tn/fr/a/7749935/a-vendre-s1-maison-de-jardin-%C3%A0-kantaoui
2626,A vendre un s3 à cité khadra tunis,Charguia à       Cité El Khadra      ,Appartement,90,2,268 000,10.226369,36.823935,https://www.mubawab.tn/fr/a/7694137/a-vendre-un-s3-%C3%A0-cit%C3%A9-khadra-tunis
2627,A vendre un appartement s3 a la nouvelle medina,Nouvelle Medina à       Nouvelle Medina      ,Appartement,140,3,158 000,10.18348,36.78898,https://www.mubawab.tn/fr/a/7792525/a-vendre-un-appartement-s3-a-la-nouvelle-medina
2628,"Appartement T3 Résidence El Ons, Hammamet Nord",Hammamet Nord à       Hammamet      ,Appartement,107,2,370 000,10.661894,36.419773,https://www.mubawab.tn/fr/a/7792321/appartement-t3-r%C3%A9sidence-el-ons-hammamet-nord
2629,A vendre un s2 vue mer à kantaoui,El Kantaoui à       Hammam Sousse      ,Appartement,150,2,390 000,10.58025,35.898175,https://www.mubawab.tn/fr/a/7720297/a-vendre-un-s2-vue-mer-%C3%A0-kantaoui
2630,S3 avec chambre de service à vendre aux jardins de Carthage,Les Jardins de Carthage à       Le Kram      ,Appartement,180,3,680 000,10.291834,36.8555704,https://www.mubawab.tn/fr/a/7655043/s3-avec-chambre-de-service-%C3%A0-vendre-aux-jardins-de-carthage
2631,Duplex S3 aux jardins de Carthage,Les Jardins de Carthage à       Le Kram      ,Appartement,300,3,650 000,10.29647,36.85246,https://www.mubawab.tn/fr/a/7263682/duplex-s3-aux-jardins-de-carthage
2632,Appartement S3 Neuf À Vendre Aux Jardins De Carthage,Les Jardins de Carthage à       Le Kram      ,Appartement,130,3,520 000,10.291834,36.8555704,https://www.mubawab.tn/fr/a/7790698/appartement-s3-neuf-%C3%A0-vendre-aux-jardins-de-carthage
2633,Appartement S plus trois a cité ennaser,Cité Ennasr 2 à       Ariana Ville      ,Appartement,130,3,380 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7790419/appartement-s-plus-trois-a-cit%C3%A9-ennaser
2634,Belle opportunité à saisir,Cité Bou Mhel à       Boumhel Bassatine      ,Appartement,100,3,230 000,10.34246,36.57724,https://www.mubawab.tn/fr/a/7789382/belle-opportunit%C3%A9-%C3%A0-saisir
2635,Bel appartement à vendre,Montfleury à       Tunis      ,Appartement,110,3,250 000,10.1703621,36.786879599999985,https://www.mubawab.tn/fr/a/7788795/bel-appartement-%C3%A0-vendre
2636,Opportunité à Ain zaghwen duplex à la vente,Ain Zaghouan Nord à       La Marsa      ,Appartement,150,3,365 000,10.2835035,36.8623859,https://www.mubawab.tn/fr/a/7787227/opportunit%C3%A9-%C3%A0-ain-zaghwen-duplex-%C3%A0-la-vente
2637,Offre très intéressante duplex à vendre à la marsa,Cité Du Stade à       La Marsa      ,Appartement,150,3,420 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7787224/offre-tr%C3%A8s-int%C3%A9ressante-duplex-%C3%A0-vendre-%C3%A0-la-marsa
2638,Bel appartement à vendre à Nouvelle Ariana. 3 chambres agréables. Meublé,Nouvelle Ariana à       Ariana Ville      ,Appartement,165,3,350 000,10.1604276,36.8604803,https://www.mubawab.tn/fr/a/7787005/bel-appartement-%C3%A0-vendre-%C3%A0-nouvelle-ariana-3-chambres-agr%C3%A9ables-meubl%C3%A9
2639,Vente d'un bel appartement à El Menzah 9. 2 belles chambres. Ascenseur.,El Menzah 9 à       El Menzah      ,Appartement,140,2,250 000,10.1410889,36.8482637,https://www.mubawab.tn/fr/a/7786209/vente-d-un-bel-appartement-%C3%A0-el-menzah-9-2-belles-chambres-ascenseur-
2640,S2 a vendre,Nouvelle Medina à       Nouvelle Medina      ,Appartement,115,2,200 000,10.18348,36.78898,https://www.mubawab.tn/fr/a/7771420/s2-a-vendre
2641,Appartement en vente à Cité Ons. Surface totale 160 m². Grand balcon.,Cité Ons à       Sakiet Ezzit      ,Appartement,160,6,270 000,10.7609,34.7996,https://www.mubawab.tn/fr/a/7784343/appartement-en-vente-%C3%A0-cit%C3%A9-ons-surface-totale-160-m%C2%B2-grand-balcon-
2642,Spacieux appartement au centre ville,Hedi Chaker à       Tunis      ,Appartement,120,5,220 000,10.16596,36.81881,https://www.mubawab.tn/fr/a/7777820/spacieux-appartement-au-centre-ville
2643,Vente d'un bel appartement à Cité Taieb Mhiri. Superficie 300 m².,Cité Taieb Mhiri à       Menzel Chaker      ,Appartement,300,3,180 000,10.3742,35.02241,https://www.mubawab.tn/fr/a/7781686/vente-d-un-bel-appartement-%C3%A0-cit%C3%A9-taieb-mhiri-superficie-300-m%C2%B2-
2644,Bel appartement à vendre à Ariana. 2 belles chambres,Ariana à       Ariana Ville      ,Appartement,90,2,150 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7779175/bel-appartement-%C3%A0-vendre-%C3%A0-ariana-2-belles-chambres
2645,Bel appartement à vendre,Grombalia      ,Appartement,103,3,200 000,10.5,36.6,https://www.mubawab.tn/fr/a/7779119/bel-appartement-%C3%A0-vendre
2646,2 ème étage la mannouba,La Manouba à       La Manouba      ,Appartement,125,4,350 000,10.05538,36.77855,https://www.mubawab.tn/fr/a/7778483/2-%C3%A8me-%C3%A9tage-la-mannouba
2647,Appartement à l'achat à Cité El Bassatine2. 3 chambres agréables. Cuisine équipée.,Cité El Bassatine2 à       Mnihla      ,Appartement,120,3,100 000,10.088787324988315,36.84203295405933,https://www.mubawab.tn/fr/a/7778433/appartement-%C3%A0-l-achat-%C3%A0-cit%C3%A9-el-bassatine2-3-chambres-agr%C3%A9ables-cuisine-%C3%A9quip%C3%A9e-
2648,Appartement rénové a vendre a la nouvelle medina,Nouvelle Medina à       Nouvelle Medina      ,Appartement,128,3,240 000,10.248179201699607,36.74141993272379,https://www.mubawab.tn/fr/a/7777363/appartement-r%C3%A9nov%C3%A9-a-vendre-a-la-nouvelle-medina
2649,Étage Complet Idéalement situé au centre ville,Bab Jazira à       Tunis      ,Appartement,307,9,780 000,10.16596,36.81881,https://www.mubawab.tn/fr/a/7776069/%C3%A9tage-complet-id%C3%A9alement-situ%C3%A9-au-centre-ville
2650,Appartement sayafi et investissement locatif,Zarzis      ,Appartement,183,3,280 000,10.8058902,33.5240365,https://www.mubawab.tn/fr/a/7715850/appartement-sayafi-et-investissement-locatif
2651,Appartement à La Soukra,La Soukra à       La Soukra      ,Appartement,160,3,520 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7773534/appartement-%C3%A0-la-soukra
2652,Appartement a vendre a gammarth,Gammarth à       La Marsa      ,Appartement,140,2,690 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7693736/appartement-a-vendre-a-gammarth
2653,A vendre un s2 à sousse,Sousse Ville à       Sousse Ville      ,Appartement,90,2,270 000,10.5945561,35.8318766,https://www.mubawab.tn/fr/a/7769572/a-vendre-un-s2-%C3%A0-sousse
2654,Appartement à vendre à El Mourouj 5. Surface de 86 m². Double vitrage et chauffage central,El Mourouj 5 à       El Mourouj      ,Appartement,86,2,180 000,10.2622167,36.6938694,https://www.mubawab.tn/fr/a/7773299/appartement-%C3%A0-vendre-%C3%A0-el-mourouj-5-surface-de-86-m%C2%B2-double-vitrage-et-chauffage-central
2655,Duplex en s2 a sidi daoued,Sidi Daoued à       La Marsa      ,Appartement,130,2,570 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7771981/duplex-en-s2-a-sidi-daoued
2656,Appartement à l'achat à Ariana. 2 pièces confortables. Parabole.,Ariana à       Ariana Ville      ,Appartement,82,2,1 000 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7771292/appartement-%C3%A0-l-achat-%C3%A0-ariana-2-pi%C3%A8ces-confortables-parabole-
2657,Un Appartement S3 à vendre à La Soukra,La Soukra à       La Soukra      ,Appartement,162,3,420 000,10.27417,36.88833,https://www.mubawab.tn/fr/a/7770983/un-appartement-s3-%C3%A0-vendre-%C3%A0-la-soukra
2658,Vente appartement,Bab Bhar à       Tunis      ,Appartement,183,6,900 000,10.175608,36.799163,https://www.mubawab.tn/fr/a/7770508/vente-appartement
2659,Deux appartements à vendre à Gabes,Gabès à       Gabès Ville      ,Appartement,110,3,100 000,10.096221929812813,33.88094218018223,https://www.mubawab.tn/fr/a/7770477/deux-appartements-%C3%A0-vendre-%C3%A0-gabes
2660,Une belle appartement à vendre,Essaltania à       Sakiet Eddaier      ,Appartement,100,2,95 000,10.47154,34.46109,https://www.mubawab.tn/fr/a/7770143/une-belle-appartement-%C3%A0-vendre
2661,Appartement s plus 4 cite enkhilet,Cité Ennkhilet à       Raoued      ,Appartement,144,4,205 000,10.191389,36.954444,https://www.mubawab.tn/fr/a/7770112/appartement-s-plus-4-cite-enkhilet
2662,S3 à vendre à l'aouina,Aouina à       La Marsa      ,Appartement,145,3,380 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7770030/s3-%C3%A0-vendre-%C3%A0-l-aouina
2663,Des appartements neufs à quelques pas de la mer,Hammamet à       Hammamet      ,Appartement,103,3,465 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7667139/des-appartements-neufs-%C3%A0-quelques-pas-de-la-mer
2664,Appartement S3 à vendre cité enkhilet ariana,Cité Ennkhilet à       Raoued      ,Appartement,120,3,21 000 000,10.195541000000002,36.89316000000002,https://www.mubawab.tn/fr/a/7768172/appartement-s3-%C3%A0-vendre-cit%C3%A9-enkhilet-ariana
2665,S3 neuf à vendre à Ennasr 2 très haut standing,Cité Ennasr 2 à       Ariana Ville      ,Appartement,140,3,410 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7768157/s3-neuf-%C3%A0-vendre-%C3%A0-ennasr-2-tr%C3%A8s-haut-standing
2666,S2 haut standing avec meubles et décoration tantan,Tantana      ,Appartement,80,2,250 000,10.5662298,35.9189183,https://www.mubawab.tn/fr/a/7767172/s2-haut-standing-avec-meubles-et-d%C3%A9coration-tantan
2667,Appartement S2 à 2 minutes de la gare de Rades,Cité Mohamed Ali à       Rades      ,Appartement,90,2,148 000,10.2736,36.7609,https://www.mubawab.tn/fr/a/7766769/appartement-s2-%C3%A0-2-minutes-de-la-gare-de-rades
2668,Appartement S2 avec terrasse à cité ennasr,Ariana Ville      ,Appartement,120,2,347 000,10.19556,36.8625,https://www.mubawab.tn/fr/a/7759745/appartement-s2-avec-terrasse-%C3%A0-cit%C3%A9-ennasr
2669,Duplex S3 Neuf à vendre aux Jardins de Carthage,Les Jardins de Carthage à       Le Kram      ,Appartement,220,3,800 000,10.291834,36.8555704,https://www.mubawab.tn/fr/a/7586290/duplex-s3-neuf-%C3%A0-vendre-aux-jardins-de-carthage
2670,Appartement S2 cité El Hana,Cité Belvédère à       Bizerte Nord      ,Appartement,100,3,138 000,9.8708,37.272,https://www.mubawab.tn/fr/a/7763828/appartement-s2-cit%C3%A9-el-hana
2671,S2 meublé haut standing AFH mrezgua,Cité El Wafa à       Nabeul      ,Appartement,104,2,290 000,10.69273657814706,36.43888653453508,https://www.mubawab.tn/fr/a/7763737/s2-meubl%C3%A9-haut-standing-afh-mrezgua
2672,Appartement S3 à vendre au lac 2,Les Berges Du Lac 2 à       La Marsa      ,Appartement,204,3,850 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7504954/appartement-s3-%C3%A0-vendre-au-lac-2
2673,Résidence sol azur kantaoui hammam sousse,Cité de la Plage à       Hammam Sousse      ,Appartement,95,2,180 000,10.5972,35.8569,https://www.mubawab.tn/fr/a/7763208/r%C3%A9sidence-sol-azur-kantaoui-hammam-sousse
2674,Appartement à l'achat à La Manouba. Surface de 150 m². Antenne parabolique et Porte blindée.,La Manouba à       La Manouba      ,Appartement,150,4,130 000,10.05538,36.77855,https://www.mubawab.tn/fr/a/7762825/appartement-%C3%A0-l-achat-%C3%A0-la-manouba-surface-de-150-m%C2%B2-antenne-parabolique-et-porte-blind%C3%A9e-
2675,Vente d'un bel appartement. 2 pièces.,Bekalta      ,Appartement,200,7,200 000,11.0,35.616667,https://www.mubawab.tn/fr/a/7762764/vente-d-un-bel-appartement-2-pi%C3%A8ces-
2676,S3 Av. De la liberté en face de Bourguiba School,République à       Tunis      ,Appartement,100,3,243 000,10.16596,36.81881,https://www.mubawab.tn/fr/a/7761690/s3-av-de-la-libert%C3%A9-en-face-de-bourguiba-school
2677,A Vendre Appartement S3 à Borj Louzir,Borj Louzir à       La Soukra      ,Appartement,106,3,132 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7398345/a-vendre-appartement-s3-%C3%A0-borj-louzir
