id,title,city,property,area(m²),price(TND),longitude,latitude,link
1846,Pour investisseur,Charguia 1 à       La Soukra      ,Terrain,5000,1 850 000,10.2109686,36.8524603,https://www.mubawab.tn/fr/a/7570761/pour-investisseur
1847,Terrain a vendre a Hammamet sud,Hammamet Sud à       Hammamet      ,Terrain,250,37 500,10.61457,36.40108,https://www.mubawab.tn/fr/a/7803048/terrain-a-vendre-a-hammamet-sud
1848,A vendre 2 terrains Kalaa sghira,Kalâa Sghira      ,Terrain,531,185 850,10.5545,35.83238,https://www.mubawab.tn/fr/a/7802915/a-vendre-2-terrains-kalaa-sghira
1849,"Terrain à Kalaa Sghira, sur la route de Sahloul",Kalâa Sghira      ,Terrain,705,246 750,9.519475555419923,33.87350367215015,https://www.mubawab.tn/fr/a/7802903/terrain-%C3%A0-kalaa-sghira-sur-la-route-de-sahloul
1850,Terrain à vendre à Borj Cedria,Borj Cedria à       Hammam Chatt      ,Terrain,256,166 000,10.417470768947279,36.70874172684869,https://www.mubawab.tn/fr/a/7802885/terrain-%C3%A0-vendre-%C3%A0-borj-cedria
1851,Terrain à vocation commerciale RDC plus 4 étages,Hedi Chaker à       Tunis      ,Terrain,333,999 000,10.177418396911605,36.81413754733692,https://www.mubawab.tn/fr/a/7635241/terrain-%C3%A0-vocation-commerciale-rdc-plus-4-%C3%A9tages
1852,Terrain à vendre. Superficie 10000 m²,Kalâa Sghira      ,Terrain,8000,300 000,10.560554,35.821756,https://www.mubawab.tn/fr/a/7801679/terrain-%C3%A0-vendre-superficie-10000-m%C2%B2
1853,A vendre Senia de 08 Hectars à Hergla,Hergla      ,Terrain,80000,800 000,10.504303,36.031411,https://www.mubawab.tn/fr/a/7798006/a-vendre-senia-de-08-hectars-%C3%A0-hergla
1854,A vendre un lot de terrain à sidi Bouali,Sidi Bou Ali Sousse      ,Terrain,1800,120 000,10.47619,35.958535,https://www.mubawab.tn/fr/a/7752483/a-vendre-un-lot-de-terrain-%C3%A0-sidi-bouali
1855,A v terrain a riadh el andalous,Riadh al Andalous à       Ariana Ville      ,Terrain,400,400 000,10.1717264,36.8805752,https://www.mubawab.tn/fr/a/7801069/a-v-terrain-a-riadh-el-andalous
1856,Terrain habitation ind. En vente,Skanes à       Monastir Ville      ,Terrain,852,1 100 000,10.833333,35.783333,https://www.mubawab.tn/fr/a/7797938/terrain-habitation-ind-en-vente
1857,Terrain constructible avec certificat de propriété,Chebba      ,Terrain,485,50 000,11.11085,35.2304,https://www.mubawab.tn/fr/a/7552053/terrain-constructible-avec-certificat-de-propri%C3%A9t%C3%A9
1858,Terrain a vendre a Ramla Karkennah,Kerkenah à       Kerkennah      ,Terrain,460,27 000,11.23333,34.73333,https://www.mubawab.tn/fr/a/7799853/terrain-a-vendre-a-ramla-karkennah
1859,Terrain angle de deux rues à Rades,Tunis      ,Terrain,760,760 000,10.16596,36.81881,https://www.mubawab.tn/fr/a/7799166/terrain-angle-de-deux-rues-%C3%A0-rades
1860,"Opportunité Terrain cité El Fol, Ben Arous, Tunis",El Yasminette à       Nouvelle Medina      ,Terrain,170,159 800,10.243722469312887,36.73208492311727,https://www.mubawab.tn/fr/a/7799461/opportunit%C3%A9-terrain-cit%C3%A9-el-fol-ben-arous-tunis
1861,Terrain pour promoteur Mhamdia,Mohamadia à       Mohamadia      ,Terrain,3535,2 651 250,10.09106,36.64767,https://www.mubawab.tn/fr/a/7764179/terrain-pour-promoteur-mhamdia
1862,Terrain à acheter. Surface de 5600 m².,Medenine      ,Terrain,5600,120 000,10.49143,33.34318,https://www.mubawab.tn/fr/a/7798886/terrain-%C3%A0-acheter-surface-de-5600-m%C2%B2-
1863,Terrain d'agriculture,Beni Khiar à       Beni Khiar      ,Terrain,2750,360 000,10.78,36.47,https://www.mubawab.tn/fr/a/7798358/terrain-d-agriculture
1864,Terrain Pied dans l'Eau de 1120 m² avec Vue Magnif,Kélibia      ,Terrain,1120,780 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7798043/terrain-pied-dans-l-eau-de-1120-m%C2%B2-avec-vue-magnif
1865,"Terrain 500 m², Plage Petit Paris, Kélibia Zone",Kélibia      ,Terrain,500,390 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7798011/terrain-500-m%C2%B2-plage-petit-paris-k%C3%A9libia-zone
1866,Achat de terrain à Cité Chaker. Surface de 351 m².,Cité Chaker à       Raoued      ,Terrain,351,85 000,10.191389,36.954444,https://www.mubawab.tn/fr/a/7797878/achat-de-terrain-%C3%A0-cit%C3%A9-chaker-surface-de-351-m%C2%B2-
1867,Projet de lotissement a la plage de Dar Allouch,Kélibia      ,Terrain,198,60 000,11.0918,36.8493,https://www.mubawab.tn/fr/a/7797611/projet-de-lotissement-a-la-plage-de-dar-allouch
1868,Vente terrain. Surface de 9009 m².,Sidi Bou Ali Sousse      ,Terrain,9009,350 000,10.47619,35.958535,https://www.mubawab.tn/fr/a/7797373/vente-terrain-surface-de-9009-m%C2%B2-
1869,Terrain en vente à Cité Chaker. Superficie 1883 m².,Cité Chaker à       Raoued      ,Terrain,1883,188 000,10.191389,36.954444,https://www.mubawab.tn/fr/a/7759698/terrain-en-vente-%C3%A0-cit%C3%A9-chaker-superficie-1883-m%C2%B2-
1870,Terrain agricole à 30 km de Tunis,Cité El Hafsia à       Borj El Amri      ,Terrain,19750,200 000,9.9089889,36.8094099,https://www.mubawab.tn/fr/a/7796130/terrain-agricole-%C3%A0-30-km-de-tunis
1871,Terrain a vendre,Tabarka Ville à       Tabarka      ,Terrain,828,120 000,8.7581,36.952,https://www.mubawab.tn/fr/a/7796087/terrain-a-vendre
1872,Terrain bien situé,Soliman      ,Terrain,7500,1 125 000,10.491928746032702,36.6923214698711,https://www.mubawab.tn/fr/a/7795885/terrain-bien-situ%C3%A9
1873,A vendre un terrain Essaltnia,Essaltania à       Sakiet Eddaier      ,Terrain,3600,280 000,10.47154,34.46109,https://www.mubawab.tn/fr/a/7795072/a-vendre-un-terrain-essaltnia
1874,Vente de terrain à Metline. Surface de 276 m²,Metline à       Metline      ,Terrain,276,140 000,10.0469,37.2464,https://www.mubawab.tn/fr/a/7795183/vente-de-terrain-%C3%A0-metline-surface-de-276-m%C2%B2
1875,Terrain emplacement strategique,Mnihla à       Mnihla      ,Terrain,1800,1 550 000,10.114318,36.876188,https://www.mubawab.tn/fr/a/7794753/terrain-emplacement-strategique
1876,Ferme de compagne a vendre,Kalâa Kebira      ,Terrain,5000,550 000,10.54372,35.87392,https://www.mubawab.tn/fr/a/7794121/ferme-de-compagne-a-vendre
1877,Vente de terrain. Surface de 171 m²,Dar Châabane      ,Terrain,171,205 000,10.75258,36.48423,https://www.mubawab.tn/fr/a/7793955/vente-de-terrain-surface-de-171-m%C2%B2
1878,A vendre senia de 21600 m² kalaa sgira,Kalâa Sghira      ,Terrain,21600,450 000,10.560554,35.821756,https://www.mubawab.tn/fr/a/7790297/a-vendre-senia-de-21600-m%C2%B2-kalaa-sgira
1879,Terrain habitation ind. En vente,El Manar 1 à       El Menzah      ,Terrain,974,1 266 000,10.1384603,36.8331947,https://www.mubawab.tn/fr/a/7776230/terrain-habitation-ind-en-vente
1880,6 Lot de terrain,Nabeul à       Nabeul      ,Terrain,315,100 000,10.700077648678691,36.46247325622096,https://www.mubawab.tn/fr/a/7792736/6-lot-de-terrain
1881,Terrain à Chotrana 3,Chotrana 3 à       La Soukra      ,Terrain,500,350 000,10.25,36.883333,https://www.mubawab.tn/fr/a/7792215/terrain-%C3%A0-chotrana-3
1882,"Terrain de 660m à vendre à la Marsa, cité el Hana",Cité El Hana à       La Marsa      ,Terrain,660,1 320 000,10.325278,36.876389,https://www.mubawab.tn/fr/a/7390513/terrain-de-660m-%C3%A0-vendre-%C3%A0-la-marsa-cit%C3%A9-el-hana
1883,Terrain à vendre,Medjez El Bab      ,Terrain,40000,100 000,9.2973502,36.6749338,https://www.mubawab.tn/fr/a/7790476/terrain-%C3%A0-vendre
1884,Maison en cours de construction,Gabès Sud      ,Terrain,380,330 000,10.116667,33.883333,https://www.mubawab.tn/fr/a/7790357/maison-en-cours-de-construction
1885,Des terrains à Chorfech avec titre bleu,Chorchef 2 à       Sidi Thabet      ,Terrain,300,36 500,10.2243965,36.8240829,https://www.mubawab.tn/fr/a/7788966/des-terrains-%C3%A0-chorfech-avec-titre-bleu
1886,Vente de terrain à Raoued. Surface totale 250 m²,Raoued à       Raoued      ,Terrain,250,40 000,10.4132,36.70549,https://www.mubawab.tn/fr/a/7788517/vente-de-terrain-%C3%A0-raoued-surface-totale-250-m%C2%B2
1887,Opportunité à ne pas rater: terrain dans une zone d'avenir,Kalaat Landalous à       Kalaat Landalous      ,Terrain,1165,70 000,10.1199168,37.0618319,https://www.mubawab.tn/fr/a/7298428/opportunit%C3%A9-%C3%A0-ne-pas-rater-terrain-dans-une-zone-d-avenir
1888,Ferme à vendre,Takelsa      ,Terrain,50000,250 000,10.629509,36.792339,https://www.mubawab.tn/fr/a/7783458/ferme-%C3%A0-vendre
1889,Terrain à la vente à Cité Erriadh. Surface totale 280 m².,Cité Erriadh à       Jedaida      ,Terrain,280,100 000,0.0,0.0,https://www.mubawab.tn/fr/a/7787131/terrain-%C3%A0-la-vente-%C3%A0-cit%C3%A9-erriadh-surface-totale-280-m%C2%B2-
1890,Terrain residentiel a Jemmal. Surface totale 509 m²,Jemmal      ,Terrain,509,305 000,10.7419465,35.6209685,https://www.mubawab.tn/fr/a/7787145/terrain-residentiel-a-jemmal-surface-totale-509-m%C2%B2
1891,Terrain hammamet derriere palais presidentiel,Hammamet Nord à       Hammamet      ,Terrain,1837,950 000,10.643404540908671,36.40474575681114,https://www.mubawab.tn/fr/a/7786976/terrain-hammamet-derriere-palais-presidentiel
1892,A vendre 380m² à Mrezga Hammamet Nord,Hammamet Nord à       Hammamet      ,Terrain,380,171 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7731333/a-vendre-380m%C2%B2-%C3%A0-mrezga-hammamet-nord
1893,A vendre 1379m² à Latrach Hammamet,Hammamet à       Hammamet      ,Terrain,1379,124 000,10.61457,36.40108,https://www.mubawab.tn/fr/a/7732641/a-vendre-1379m%C2%B2-%C3%A0-latrach-hammamet
1894,A vendre un Terrain a bouhjar près du collège,Bouhjar      ,Terrain,127,75 000,10.859258,35.665448,https://www.mubawab.tn/fr/a/7786588/a-vendre-un-terrain-a-bouhjar-pr%C3%A8s-du-coll%C3%A8ge
